section,tr_name,en_name,route,file,role,status,features,related_subscreens,redesign_required,priority
missing,Randevu Planlayıcı,AppointmentScheduler,(missing),—,Consultant,missing,Visit sheet manual only,AvailabilityPicker,Evet,P1
missing,Kampanya Analitiği,CampaignAnalyticsPage,(missing),—,Broker,missing,Bulk send without metrics,DeliveryRates,Evet,P1
missing,Danışman Performans Detay,ConsultantPerformanceDetail,(missing),—,Broker,missing,Admin list without drill-down,ComparePeriod,Evet,P1
missing,Müşteri Doküman Kasası,CustomerDocumentsVault,(missing),—,Consultant,missing,property_vault entity only,Upload; Preview,Evet,P1
missing,Komisyon/Kapanış,CommissionClosingFlow,(missing),—,Broker,missing,Not in pipeline,ApprovalFlow,Evet,P1
missing,Otomasyon Kuralları,AutomationRulesBuilder,(missing),—,Broker,missing,automation_rules_engine empty,RuleEditor,Evet,P1
missing,Abonelik/Fatura,BillingSubscriptionPage,(missing),—,Broker,missing,Upgrade sheet only,PaymentMethod,Evet,P1
missing,Güvenlik/MFA,SecuritySettingsPage,(missing),—,All staff,missing,Not in settings,MFASetup,Evet,P1
missing,Toplu Müşteri Import,BulkCustomerImport,(missing),—,Broker,missing,Listing import only,ColumnMapping,Evet,P1
missing,Akıllı Listeler,SmartListsSavedFilters,(missing),—,Consultant,missing,Text search only,FilterBuilder,Evet,P1
missing,Client Gerçek Backend,ClientPortalBackend,(missing),—,Client,missing,3/5 tabs mock,RealSearch; RealFavorites,Evet (öncelikli),P0
module_stub,ai_call_brain,(no UI),—,lib/features/ai_call_brain/,—,missing,Empty directory,—,Hayır,P2
module_stub,automation_rules_engine,(no UI),—,lib/features/automation_rules_engine/,—,missing,Empty directory,—,Hayır,P2
module_stub,ar_vr,(no UI),—,lib/features/ar_vr/,—,missing,Empty directory,—,Hayır,P2
module_stub,deal_health_engine,(no UI),—,lib/features/deal_health_engine/,—,missing,Empty directory,—,Hayır,P2
module_stub,investment_radar,(no UI),—,lib/features/investment_radar/,—,missing,Empty directory,—,Hayır,P2
module_stub,barter_swap_engine,(no UI),—,lib/features/barter_swap_engine/,—,missing,Domain entity only,—,Hayır,P2
module_stub,property_vault,(no UI),—,lib/features/property_vault/,—,missing,Domain entity only,—,Hayır,P2
